date,amount,description,category,comment
2016-01-06,-96,0x409ed,housing,0x4f2ecc661f
2016-01-06,-24,0x87f90,healthcare,0xb00fd93788
2016-01-07,-99,0x64683,healthcare,0x673cd58472
2016-01-07,-85,0x6d067,transport,0x88ef73b6e5
2016-01-08,-15,0x5c88c,healthcare,0x318f88a81b
2016-01-08,-82,0x52c1e,housing,0x21270bb9f6
2016-01-09,-54,0xd63b2,healthcare,0x2f7d1852ce
2016-01-09,-96,0xe6243,food,0x8ee772ab2
2016-01-10,43,0x508e9,reiki,0xd025c24a55
2016-01-10,-84,0xc9645,housing,0x323b953066
2016-01-11,-47,0x53ca3,miscellany,0x32e0793252
2016-01-11,52,0xf7dff,reiki,0x565de6689d
2016-01-12,29,0x7aa8c,thieving,0xd21922c47
2016-01-12,-19,0xe5020,housing,0xe73a46f7e3
2016-01-13,11,0x1a2e1,yoga,0xce4fc40d97
2016-01-13,70,0xe132c,reiki,0x4266215087
2016-01-14,-22,0xc2cd3,transport,0x35a22a23b4
2016-01-14,22,0xcf613,thieving,0x141bdb6e5e
2016-01-15,80,0xf2771,yoga,0x23283b9355
2016-01-15,-46,0x21f0f,transport,0xd2f22135fe
2016-01-16,-97,0xed6c1,food,0xa5f0023649
2016-01-16,78,0x63fa8,reiki,0x24c6c5e5e0
2016-01-17,78,0x25c4c,yoga,0x1025cc58ca
2016-01-17,89,0x2cc34,thieving,0x5f2870cb14
2016-01-18,25,0x80fce,yoga,0x99b12289be
2016-01-18,48,0x4d593,reiki,0xb2c4c0f2cf
2016-01-19,-48,0x8e44a,healthcare,0x3b7b0cfc75
2016-01-19,-20,0xc0835,food,0x6ea571d908
2016-01-20,59,0x15071,yoga,0xf6791d732d
2016-01-20,23,0x31bea,yoga,0x8c86c1c11
2016-01-21,18,0xfcb19,yoga,0xe944b4ffc8
2016-01-21,-44,0x3bb3c,housing,0x8128a47876
2016-01-22,-82,0xac684,housing,0x536091b7d9
2016-01-22,-82,0xd614d,miscellany,0x4a39cb2fa
2016-01-23,-72,0x8142,housing,0x592118a2bb
2016-01-23,21,0x7f26d,yoga,0xf8e60ae75b
2016-01-24,-76,0xf1364,healthcare,0x2153c0434c
2016-01-24,-80,0x5ea2f,healthcare,0xf63f6e1a53
2016-01-25,-88,0x17389,healthcare,0x3d84e6e30a
2016-01-25,-92,0x2f9cb,miscellany,0x92b96f10a
2016-01-26,-55,0x53e87,transport,0xfacfee9737
2016-01-26,-35,0x4dcbe,food,0x9798d82e14
2016-01-27,43,0xfadbc,yoga,0xdb981ee4bf
2016-01-27,79,0x9512b,yoga,0x6749b88b9d
2016-01-28,0,0xb6489,healthcare,0x5c328a5caf
2016-01-28,74,0x727a9,yoga,0xf76a06de51
2016-01-29,91,0x12993,yoga,0xd731981e48
2016-01-29,-16,0xc8050,healthcare,0x569a96b78a
2016-01-30,-71,0x207dc,food,0xe181855389
2016-01-30,99,0x9562f,reiki,0x21661e1817
2016-01-31,93,0x75c8b,yoga,0xa8e084a838
2016-01-31,49,0x72b3e,reiki,0x9a705bc5e7
2016-02-01,-93,0xe8405,miscellany,0x8e2235ff65
2016-02-01,-78,0xf2009,food,0x32a2d6b1a2
2016-02-02,-76,0x423a9,food,0xd9cf798fb7
2016-02-02,-70,0xf1ef3,transport,0xa6730be57a
2016-02-03,64,0xa0eee,reiki,0xc3ac9511af
2016-02-03,5,0x1c6b9,thieving,0xf9618d10e
2016-02-04,-70,0xe31c7,healthcare,0xbc93dfbbc3
2016-02-04,-4,0x290bd,food,0xf2c9d71313
2016-02-05,-99,0xff27a,housing,0x5b92c7698f
2016-02-05,-64,0x3a85c,housing,0x82028ab252
2016-02-06,-7,0xdabc1,food,0xb89a1a0a47
2016-02-06,61,0xd70,thieving,0xfc82b6d297
2016-02-07,18,0x36e12,yoga,0x37a8da8bd
2016-02-07,-97,0xc40bb,healthcare,0x490089a1e2
2016-02-08,79,0xaa88a,thieving,0x65d4abeb05
2016-02-08,73,0x1efcc,yoga,0x19ff12be46
2016-02-09,-10,0xab1f3,miscellany,0x87538c7496
2016-02-09,79,0x11399,reiki,0xc5a550bc67
2016-02-10,25,0xdd95a,reiki,0xc1e28c671d
2016-02-10,23,0xe5ba6,thieving,0x86be3fde22
2016-02-11,78,0xeca55,yoga,0x4103c2b8dd
2016-02-11,84,0x317fd,thieving,0xfc3bc0ac5a
2016-02-12,72,0x2797b,yoga,0x3105d135a4
2016-02-12,42,0xdc4c7,thieving,0xd4436d4b41
2016-02-13,-18,0x65f1e,miscellany,0x184193995c
2016-02-13,-51,0xbfd9a,healthcare,0x90468e0a9b
2016-02-14,-6,0x4553f,food,0x20cf2d7410
2016-02-14,-27,0x53590,food,0x9384a26a3c
2016-02-15,74,0xcbc52,thieving,0x78e0898a9b
2016-02-15,-48,0x28b9d,transport,0x8dcf088adf
2016-02-16,-47,0x26ae7,transport,0x219aadfe6
2016-02-16,22,0xa3776,thieving,0x4886b9403d
2016-02-17,-53,0x5987b,miscellany,0xb82919ed30
2016-02-17,-23,0xf689f,miscellany,0x71197caacb
2016-02-18,7,0xb19ee,yoga,0x57dd3c7a21
2016-02-18,48,0x26fdc,yoga,0xf44f922e4e
2016-02-19,34,0x25d90,thieving,0xc0b70b838d
2016-02-19,96,0x7431a,yoga,0x6793af8b6b
2016-02-20,-74,0xb2e67,transport,0x80af0557f8
2016-02-20,11,0xce1d0,yoga,0xedd0132675
2016-02-21,61,0x8a85e,thieving,0x449cfda396
2016-02-21,-81,0xc76d1,miscellany,0xb29658a278
2016-02-22,-59,0x33e3,miscellany,0xc000ab5e79
2016-02-22,63,0x8fffc,thieving,0x7c2bb16910
2016-02-23,21,0x57f6d,thieving,0x54d0133074
2016-02-23,9,0x38604,thieving,0x9ec110ae23
2016-02-24,-54,0xe9f42,healthcare,0xde78640207
2016-02-24,-18,0x402dc,housing,0xf30e2cdae7
2016-02-25,-70,0x9a778,healthcare,0x29299fd2d0
2016-02-25,16,0x95695,thieving,0xaa5451c1d7
2016-02-26,-67,0x298a2,food,0xe4992d0bb7
2016-02-26,12,0x47ce7,yoga,0xc2e8341743
2016-02-27,-6,0xa43de,housing,0xb326638237
2016-02-27,-25,0x8029b,housing,0x718041a1b6
2016-02-28,-73,0xae185,food,0xb0c817e48
2016-02-28,34,0x3f7e3,thieving,0x108ef76b89
2016-02-29,42,0xcb345,thieving,0x656f8cbfb5
2016-02-29,83,0x8825d,reiki,0x1d3a5f8ee2
2016-03-01,-1,0x5fed5,transport,0xecc5e1475d
2016-03-01,97,0x9f53e,yoga,0xbc34921392
2016-03-02,14,0x679d1,reiki,0x73e101c76b
2016-03-02,32,0x3eac9,yoga,0x65371d023a
2016-03-03,73,0xa5879,thieving,0x1376d34c39
2016-03-03,5,0x91d59,thieving,0x779771db37
2016-03-04,37,0x48fa8,reiki,0xa162df86da
2016-03-04,-51,0x26be4,transport,0x9be0e3fd0f
2016-03-05,95,0xafcbf,yoga,0x843f23099d
2016-03-05,-67,0x6cde2,healthcare,0xa8cf215fde
2016-03-06,-54,0x84ce7,transport,0x721e390677
2016-03-06,48,0xc85a4,yoga,0xab4a8d820e
2016-03-07,-48,0xaf667,transport,0x14485fde16
2016-03-07,74,0xb1b56,yoga,0xa52076e7e
2016-03-08,72,0x98488,yoga,0x51bd831364
2016-03-08,-80,0x60802,housing,0xb1093bbe03
2016-03-09,-8,0xeff3c,miscellany,0xb09b10cad7
2016-03-09,2,0xbf9cd,reiki,0x44942ee776
